Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2018,2018,Minnesota,27,45-54 years,45-54,Male,M,180,347595,51.8
,2018,2018,Minnesota,27,55-64 years,55-64,Male,M,407,373447,109.0
,2018,2018,Mississippi,28,35-44 years,35-44,Male,M,61,177329,34.4
,2018,2018,Mississippi,28,45-54 years,45-54,Male,M,196,177691,110.3
,2018,2018,Mississippi,28,55-64 years,55-64,Male,M,459,183107,250.7
,2018,2018,Missouri,29,35-44 years,35-44,Male,M,94,370346,25.4
,2018,2018,Missouri,29,45-54 years,45-54,Male,M,326,370384,88.0
,2018,2018,Missouri,29,55-64 years,55-64,Male,M,920,401127,229.4
,2018,2018,Montana,30,35-44 years,35-44,Male,M,,64797,
,2018,2018,Montana,30,45-54 years,45-54,Male,M,39,60396,64.6
,2018,2018,Montana,30,55-64 years,55-64,Male,M,169,73700,229.3
,2018,2018,Nebraska,31,35-44 years,35-44,Male,M,14,121949,
,2018,2018,Nebraska,31,45-54 years,45-54,Male,M,60,111151,54.0
,2018,2018,Nebraska,31,55-64 years,55-64,Male,M,166,119990,138.3
,2018,2018,Nevada,32,35-44 years,35-44,Male,M,24,203505,11.8
,2018,2018,Nevada,32,45-54 years,45-54,Male,M,120,200243,59.9
,2018,2018,Nevada,32,55-64 years,55-64,Male,M,390,185719,210.0
,2018,2018,New Hampshire,33,35-44 years,35-44,Male,M,11,77466,
,2018,2018,New Hampshire,33,45-54 years,45-54,Male,M,79,94149,83.9
,2018,2018,New Hampshire,33,55-64 years,55-64,Male,M,146,104235,140.1
,2018,2018,New Jersey,34,35-44 years,35-44,Male,M,79,565353,14.0
,2018,2018,New Jersey,34,45-54 years,45-54,Male,M,296,602789,49.1
,2018,2018,New Jersey,34,55-64 years,55-64,Male,M,835,588230,142.0
,2018,2018,New Mexico,35,35-44 years,35-44,Male,M,21,126253,16.6
,2018,2018,New Mexico,35,45-54 years,45-54,Male,M,82,118049,69.5
,2018,2018,New Mexico,35,55-64 years,55-64,Male,M,265,130972,202.3
,2018,2018,New York,36,35-44 years,35-44,Male,M,184,1198387,15.4
,2018,2018,New York,36,45-54 years,45-54,Male,M,780,1241263,62.8
