Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,2003,2003,Colorado,08,55-64 years,55-64,454,413675,109.7
,2003,2003,Connecticut,09,55-64 years,55-64,462,356867,129.5
,2003,2003,Delaware,10,55-64 years,55-64,129,84166,153.3
,2003,2003,District of Columbia,11,55-64 years,55-64,141,55081,256.0
,2003,2003,Florida,12,55-64 years,55-64,2984,1825070,163.5
,2003,2003,Georgia,13,55-64 years,55-64,1400,787342,177.8
,2003,2003,Hawaii,15,55-64 years,55-64,152,127779,119.0
,2003,2003,Idaho,16,55-64 years,55-64,190,127910,148.5
,2003,2003,Illinois,17,55-64 years,55-64,2036,1164884,174.8
,2003,2003,Indiana,18,55-64 years,55-64,1091,598272,182.4
,2003,2003,Iowa,19,55-64 years,55-64,490,286451,171.1
,2003,2003,Kansas,20,55-64 years,55-64,376,250711,150.0
,2003,2003,Kentucky,21,55-64 years,55-64,923,423593,217.9
,2003,2003,Louisiana,22,55-64 years,55-64,994,429397,231.5
,2003,2003,Maine,23,55-64 years,55-64,185,144561,128.0
,2003,2003,Maryland,24,55-64 years,55-64,908,549132,165.4
,2003,2003,Massachusetts,25,55-64 years,55-64,832,630522,132.0
,2003,2003,Michigan,26,55-64 years,55-64,1978,981919,201.4
,2003,2003,Minnesota,27,55-64 years,55-64,442,467572,94.5
,2003,2003,Mississippi,28,55-64 years,55-64,633,275436,229.8
,2003,2003,Missouri,29,55-64 years,55-64,1071,571811,187.3
,2003,2003,Montana,30,55-64 years,55-64,139,98903,140.5
,2003,2003,Nebraska,31,55-64 years,55-64,177,159323,111.1
,2003,2003,Nevada,32,55-64 years,55-64,417,237753,175.4
,2003,2003,New Hampshire,33,55-64 years,55-64,192,132028,145.4
,2003,2003,New Jersey,34,55-64 years,55-64,1212,856564,141.5
,2003,2003,New Mexico,35,55-64 years,55-64,236,185465,127.2
,2003,2003,New York,36,55-64 years,55-64,3422,1888829,181.2
,2003,2003,North Carolina,37,55-64 years,55-64,1566,850994,184.0
,2003,2003,North Dakota,38,55-64 years,55-64,101,59292,170.3
,2003,2003,Ohio,39,55-64 years,55-64,2111,1134752,186.0
,2003,2003,Oklahoma,40,55-64 years,55-64,964,353939,272.4
,2003,2003,Oregon,41,55-64 years,55-64,517,366967,140.9
,2003,2003,Pennsylvania,42,55-64 years,55-64,2094,1272073,164.6
,2003,2003,Rhode Island,44,55-64 years,55-64,173,103626,166.9
,2003,2003,South Carolina,45,55-64 years,55-64,853,436968,195.2
,2003,2003,South Dakota,46,55-64 years,55-64,121,70504,171.6
,2003,2003,Tennessee,47,55-64 years,55-64,1459,611333,238.7
,2003,2003,Texas,48,55-64 years,55-64,3317,1877300,176.7
,2003,2003,Utah,49,55-64 years,55-64,167,168065,99.4
,2003,2003,Vermont,50,55-64 years,55-64,90,67438,133.5
,2003,2003,Virginia,51,55-64 years,55-64,1086,743980,146.0
,2003,2003,Washington,53,55-64 years,55-64,840,599307,140.2
,2003,2003,West Virginia,54,55-64 years,55-64,478,207416,230.5
,2003,2003,Wisconsin,55,55-64 years,55-64,729,523176,139.3
,2003,2003,Wyoming,56,55-64 years,55-64,78,52317,149.1
,2004,2004,Alabama,01,55-64 years,55-64,762,485363,157.0
,2004,2004,Alaska,02,55-64 years,55-64,73,60988,119.7
,2004,2004,Arizona,04,55-64 years,55-64,882,559670,157.6
,2004,2004,Arkansas,05,55-64 years,55-64,645,297658,216.7
,2004,2004,California,06,55-64 years,55-64,4485,3205945,139.9
