year,state,state_code,ten_year_age,sex_code,deaths,population,crude_rate
2005,South Carolina,45,55-64 years,M,635,230602,275.4
2005,South Dakota,46,55-64 years,M,88,39599,222.2
2005,Tennessee,47,55-64 years,M,946,321581,294.2
2005,Texas,48,55-64 years,M,2422,1008906,240.1
2005,Utah,49,55-64 years,M,128,92803,137.9
2005,Vermont,50,55-64 years,M,58,37402,155.1
2005,Virginia,51,55-64 years,M,801,394007,203.3
2005,Washington,53,55-64 years,M,655,333128,196.6
2005,West Virginia,54,55-64 years,M,318,111564,285.0
2005,Wisconsin,55,55-64 years,M,547,284340,192.4
2005,Wyoming,56,55-64 years,M,55,29995,183.4
2006,Alabama,01,55-64 years,M,566,250793,225.7
2006,Alaska,02,55-64 years,M,41,37404,109.6
2006,Arizona,04,55-64 years,M,684,301884,226.6
2006,Arkansas,05,55-64 years,M,503,153834,327.0
2006,California,06,55-64 years,M,3386,1682305,201.3
2006,Colorado,08,55-64 years,M,371,244418,151.8
2006,Connecticut,09,55-64 years,M,287,189897,151.1
2006,Delaware,10,55-64 years,M,95,46169,205.8
2006,District of Columbia,11,55-64 years,M,88,27333,322.0
2006,Florida,12,55-64 years,M,2147,995923,215.6
2006,Georgia,13,55-64 years,M,927,438605,211.4
2006,Hawaii,15,55-64 years,M,131,75481,173.6
2006,Idaho,16,55-64 years,M,142,76489,185.6
2006,Illinois,17,55-64 years,M,1426,625704,227.9
2006,Indiana,18,55-64 years,M,733,326717,224.4
2006,Iowa,19,55-64 years,M,334,159703,209.1
2006,Kansas,20,55-64 years,M,288,140914,204.4
2006,Kentucky,21,55-64 years,M,571,231395,246.8
2006,Louisiana,22,55-64 years,M,662,223365,296.4
2006,Maine,23,55-64 years,M,161,83299,193.3
2006,Maryland,24,55-64 years,M,616,293368,210.0
2006,Massachusetts,25,55-64 years,M,520,338730,153.5
2006,Michigan,26,55-64 years,M,1381,539929,255.8
2006,Minnesota,27,55-64 years,M,322,265350,121.3
2006,Mississippi,28,55-64 years,M,423,148187,285.5
2006,Missouri,29,55-64 years,M,797,307897,258.9
2006,Montana,30,55-64 years,M,101,59500,169.7
2006,Nebraska,31,55-64 years,M,120,90839,132.1
2006,Nevada,32,55-64 years,M,325,138899,234.0
2006,New Hampshire,33,55-64 years,M,130,76287,170.4
2006,New Jersey,34,55-64 years,M,793,447202,177.3
2006,New Mexico,35,55-64 years,M,191,106320,179.6
2006,New York,36,55-64 years,M,2243,977666,229.4
2006,North Carolina,37,55-64 years,M,1155,470588,245.4
2006,North Dakota,38,55-64 years,M,76,34637,219.4
2006,Ohio,39,55-64 years,M,1542,615683,250.5
2006,Oklahoma,40,55-64 years,M,645,190102,339.3
2006,Oregon,41,55-64 years,M,340,214050,158.8
2006,Pennsylvania,42,55-64 years,M,1532,688920,222.4
2006,Rhode Island,44,55-64 years,M,107,56292,190.1
2006,South Carolina,45,55-64 years,M,621,242011,256.6
2006,South Dakota,46,55-64 years,M,106,41668,254.4
2006,Tennessee,47,55-64 years,M,1072,335870,319.2
2006,Texas,48,55-64 years,M,2458,1063550,231.1
2006,Utah,49,55-64 years,M,136,98654,137.9
